绑工资卡可以分期吗,绑可以分期
手机肯定是有问题的我也不会无缘无故把手机邮回去,肯定是不会无缘无故
你们说在深圳发才买的耽误事,你们说耽误事
p20为啥没有这样的界面呢,为啥没有界面
我没找到耳机连接弹窗,没找到耳机连接弹窗
胡扯这是荣耀magic2,这是荣耀magic2
也升级到emui90了,也升级到emui90
但是不显示那个画面,不显示那个画面
如果不显示我就没办法看耳机电量,不显示就没办法
你们当时承诺的时候是有的,时候是有的
也升级到最新系统了,也升级到最新系统
好的我去查看一下,去查看一下
电子叛的2758金色的你没有给我发,你没有给我发
我只有2688的,我只有2688
好吧那我等等麻烦问一下保温杯发货了吗,麻烦问一下保温杯发货
那发货时候给下单号,时候给下单号
来电一直是震动,一直是震动
刚开始还有声音现在没有了,开始还有声音现在没有
手机一次没用就说主板坏了还不给保修你们店够黑的,一次没用就说主板坏
没有诚意没有信用的店靠骗是注定做不长久的,没有没有店靠骗是注定做不长久
那就紫色双肩包,紫色双肩包
手机可不能颜色随机,可不能颜色随机
那咋么办选的颜色等了一周说今天发货有缺货了让我换颜色,一周说发货有缺货
等了一周说最迟16号发货,等一周说16号发货
结果今天说没货了,今天说没货
手机壳收到了怎么返还16元,手机壳收到怎么返还16元
修改退货单号怎么修改,修改怎么修改
怎么修改不了呀,怎么修改不了
我已经重新申请退货了,重新申请退货
没叫我写快递单号呢,没叫写快递单号
你直接反馈就好了,直接反馈就好
什么快递单号,什么快递单号
才刚给我说了我还没有寄,说还没有寄
那运费是如何给我呢,运费是如何给我
我说运费如何支付,我说如何支付
后台怎么知道我退货花了多钱,怎么知道我退货
反正确定们承担寄送说明书的费用就行,反正确定承担费用
如果不是产品质量问题不会有后续退货寄送说明书的一系列行为,如果不是产品质量问题不会有一系列行为
那就申请天猫客服介入吧,就申请客服介入
不要浪费彼此的时间了,不要浪费时间
我要申请天猫客服介入,要申请客服介入
我有什么办法,我有什么办法
你拒绝就好,你拒绝就好
我们申请天猫客服介入,我们申请客服介入
我是河南焦作市,我是河南焦作市
别的能看直播看不了,能看直播看不了
不是你跟我说咋下载是手机下载还是在电视上下载,说下载是手机下载
电影能看就是看不了地方台的直播,能看就是直播
手机收到了么,手机收到么
昆山双悦纺织品有限公司,昆山双悦纺织品有限公司
我明天寄给你们,明天寄给你们
我是把所有东西都寄给你们吗,我是都寄给你们
那只把机子寄给你们不就行了有问题就从新给我寄个新的机子,寄给就行了有问题寄机子
还是说帮我换一下,还是说帮换一下
才用多久就坏了,才用多久就坏
我看看里面有没有问题,我看看里面有没有问题
怎么查不了,怎么查不了
但是你们的官方标配是有钢化膜的啊,标配是有钢化膜
你跟我说的只是说不要礼品返10元并没说我买的标配套餐里的基本东西都不发了啊,只是说礼品返10元
拜托下次直接说清楚好吗贴膜都没有我要你优惠那10块和外面去贴一个不是一个意思了,直接说清楚好
我还以为你们现在在搞活动的礼品不要减10块你现在还能给我优惠点吗,还以为不要减10块
那我收货你帮我返现,我收货你帮返现
网络检查了没问题的啊,网络检查没问题
还有那个壳子不是纯白色的吗怎么耳朵上面是红色的,还有壳子不是上面是红色
图片是纯白的,图片是纯白
碎屏是买来没多久就碎了,碎屏是就碎
现在大半年过去了,大半年过去
屏幕太容易碎就轻轻点一杯一次就碎了,容易碎轻轻点一次就碎
那你也说是可能啊,也说是可能
不是说要按照你们说的评价吗,不是说评价
这两个卡片跟手机不对应吧,卡片跟手机不对应
卡片跟手机需要对应吗,卡片跟手机需要对应
跟手机一起有卡片,一起有卡片
这个有什么用途,这个有什么用途
跟手机有什么联系,有什么联系
手机壳有吗max,手机壳有吗max
怎么是自拍杆,怎么是自拍杆
我叫你送保温杯,我叫送保温杯
我不知道你们反正,不知道你们反正
我叫送的保温杯没有,保温杯没有
那什么时候发给我,时候发给我
您核实一下,您核实一下
我刚买了一个手机移动定制的,刚买了手机移动
微博说以前你们家就是卖翻新机的,微博说家就是卖翻新机
我联系我们这里顺丰了,我联系这里顺丰
聚海城的不是我们这边的,不是我们这边
所以为什么要送到聚海城呢,要送到聚海城
手机是什么运营商的,手机是什么运营商
怎么了我没什么事,我没什么事
我要的是斗篷的套餐买的时候点错了,是时候点错
那算了那我还不如再买一个,那算了还不如再买一个
我的问题很简单十六号到不了我就用不了啦,简单十六号到不了就用不了
如果十六号还到不了我也不能用了所以我只能退货,还到不了不能用只能退货
我看评论都说是两天就到了所以我才下的单,我看评论都说是就到了所以单
现在退货钱多久能到账,现在退货钱多久能到账
不需要拦截,不需要拦截
抹不掉就这样给你们寄过去ok吗,寄过去ok
质量问题有什么情况你们自己拿着手机去打开安兔兔试新手机能卡死卡花屏吗,问题有什么情况拿着手机去打开安兔兔
不需要的话那就算了,不需要的话那就算了
产品好我用得着这样浪费我时间影响我心情,我用得着这样浪费时间影响我心情
我说了你们收到手机自己去打开安兔兔跑下分正常手机会卡死卡花屏吗,我说你们收到去打开卡花屏
我不同意送检,不同意送检
我新手机买来就去检测,新手机买来去检测
不行的话我就起诉你们,就起诉你们
退货申请已经同意我只能通过法律手段来维权,已经同意来维权
不好意思我这里现实的是退款不是检测,是退款不是检测
亮跟方糖连不上,亮跟方糖连不上
我知道现在的问题是方糖版本低,我知道问题是版本低
你是售后吗怎么一点都不懂啊,你是售后吗
来的时候说明书都告诉怎么弄了,都告诉怎么弄
那个脆屏保第四部拍有串号信息手机外壳包装串号信息在外包装哪里有,脆屏保部拍
我现在是等待审核通过,现在是等待审核
就没有其他操作了是吗,就没有其他操作是
现在是正常,现在是正常
这明显是瑕疵嘛,明显是瑕疵
手机上的IMEI号有空格输入的时候用不用空格,号有时候用
麻烦你联系一下这个,你联系一下这个
我是送给她的,我是送给她
你帮一下她,你帮一下她
买的时候填收货号码,时候填收货号码
如果给它取个名字每次就可以叫它的名字了吗,取个名字可以叫名字
那算如果是这样的话,那算如果是这样的话
如果修改不能直接派送到到新地址就没意义你确定是这样吗,如果修改直接派送到到新地址就没意义你确定是这样
七天内可以补差价的吧,可以补差价
今天星期一,今天星期一
手机不是得两部吗,手机不是两部
修改了手机不是都用不了了,修改都用不了
那不是很卡,那不是很卡
那我拿来网都连接不了买这没意思了啊,都连接不了买这没意思
网不是都只有2G4G吗还有24G,吗还有24G
蓝牙居然都连接不上服了,都连接不上服
你们可以帮我重新寄吗产生的邮费我出,可以帮重新寄吗邮费我出
我现在申请退货吗,现在申请退货
金额填写多少呢,金额填写多少
没有退就给快递打电话重新派送啊,没有退打电话重新派送
好我弄一下不行再请教你,我弄一下再请教你
流量是多少,流量是多少
扣费是按天扣,扣费是按天扣
我拿到之后充了20试水啊醒来余额就是0了,之后充醒来余额就是0
你好帮我联系下莫愁,你好帮联系下莫愁
你好我问下我的手机修好了吗,你好我问下手机修好
还没有结果吗那大约还要多久,结果吗大约还要多久
好吧那修好了通知我一声,那修好一声
还有手机页面上不是说全国联保吗,还有上不是说全国联保
怎么也没有保修卡,也没有保修卡
每月返多少,每月返多少
页面上不是写了有小爱吗,上不是写有小爱
怎么设置语音换醒小爱,怎么设置语音换醒小爱
小米现在都需要转接头了吗,都需要转接头
但是还是发不出去消息,发不出去消息
检测说没问题,检测说没问题
我去找他要一下,去找他要一下
修手机的说必须刷机,说必须刷机
新手机让我刷机,新手机让刷机
检测以网点信号差为由不予解决,信号差为由不予解决
只能充到百分之98有时可以充到99,只能充到可以充到99
现在电量显示那里有个小叶子,电量显示那里有个小叶子
那我先试下排除,先试下排除
到时不行在连续你,到时不行在连续你
30多个小时了快递还在杭州什么情况,快递还在什么情况
36个小时了快递还在杭州,快递还在杭州
怎么断开连接,怎么断开连接
你们这个是不是正品啊,这个是不是正品
这下有反应了为啥啊,这下有反应为啥
音乐叫停不停的啊,音乐叫停不停
图片格式打出来有一点糊,图片格式打出来有一点糊
那我再拍一个128g的到时候我把32的拒签了,再拍128g到时候
我拒签的话不会产生快递费用吧,我拒签不会产生快递费用
已经申请了您看一下别发过了,已经申请您看一下
32的已经有物流信息了我收到确认收货就是了,已经有物流信息我收到确认收货
32的我取消了您把128的关闭吧,我取消关闭
我这些东西里没有碎屏保卡啊,里没有碎屏保卡
这个XR不是双卡双待吗,XR不是双待
有木有安装图片,有木有安装图片
我怎么查询手机IMEI号,怎么查询IMEI号
不会啊我按了就是会起来,我按就是会起来
是膜的原因吗我再买膜是买钢化膜还是水凝膜,是买膜是买钢化膜
我联系了快递员,我联系快递员
修改好了麻烦您和我说一下,麻烦说一下
联系号码修改过了吗,号码修改过
收到货了感觉还不错,收到还不错
那个碎屏保那张卡不见了怎么办,卡不见怎么办
退出来怎么进不去了,退出怎么进不去
你好手机签收了没问题吧,手机签收没问题
那退款同意下吧,那退款同意下
没有给我发票,没有给发票
运费险生效吗,运费险生效
那我什么也不用管了是吗快件不用送来直接由那边退回是吗,不用管是吗快件
只能用手机充值,只能用手机充值
你问下是不是忘记发了,是不是忘记发
现在需要再寄给售后点检测吗,现在需要再寄给点检测
用户表示自己没有擅自拆开对此不认可,用户表示擅自拆开
怎么判段是人为,判段是人为
扰码最后一位输入不进去,一位输入不进去
最后一个P输入不了,一个P输入不了
我输入他说不正确,我输入他说不正确
哪里有客服啊,哪里有客服
都没有什么手机名字进网号,都没有进网号
这也太坑了吧我还双12买的你先在平时都还便宜些,太坑12买还便宜些
别的手机总能显示远行内存和手机内存,总能显示远行内存
这个怎么只显示手机内存54g,只显示54g
那怎么确定是运行4g,怎么确定是运行4g
对啊现在只显示内存54,只显示内存54
没有运行内存,没有运行内存
这是别的手机,这是别的手机
内存和运行都能清清楚楚的,能清清楚楚
你能帮忙备注一下吗不是我寄的等我知道我已经寄走了,能帮忙备注一下不是我寄我知道已经寄走
我家买了两个一个sD卡坏了还接不了wiF另一部手机还好用请问为什么能换一部吗,我家买了sD卡坏还接不了wiF部手机还好用请问能换一部
那发一个sD卡给我行吗,那发sD卡行
亲邮寄出来了吗,亲邮寄出来
那个碎屏险imei是那个,imei是那个
这次买有礼品送吗,这次买有礼品送
再买有礼品送吗,再买有礼品送
按哪边都变大按也是变大,都变大变大
坏的还检测什么,还检测什么
你直接发个过来换下呗,直接发个过来
不知道下午在试吧,不知道在试
一个是可以调节音量的一个是不可以调节音量的,一个是一个是可以调节音量
我也不知道是不是送的,不知道是不是送
可以调音量那个耳机的,可以调那个耳机
赠品也应该可以调的喽它既然有,可以调既然有
是不是可以退钱给我了,可以退钱给我
好的我想请问一下米粉卡的资费标准,我想请问一下资费标准
麻烦您发给我,麻烦您发给我
当时说的12选一的礼品没送呀,当时说12选礼品
我以为随机给我呢,我以为随机给我
那我要一个原装耳机,我要原装耳机
播放天猫精灵APP的节目就是这种声音,节目就是这种声音
蓝牙链接播放也是这种声音,也是种声音
是不是设备出现问题还是喇叭坏掉,是不是设备出现问题
精灵蓝牙播放音乐就是这种声音,就是这种声音
链接了也是这样的没有声音,也是没有声音
宁波有网点可以检测吗,宁波有网点可以检测
来回多长时间,来回多长时间
精灵方糖不是只换不修吗,方糖不是只换
全在这里了行就寄,全在这里就寄
在你们家购置了76个天猫精灵电子发票打出来是智能手机财务反馈这个发票不能用发票要重开显示天猫精灵数量76个和单价信息,购置电子发票是财务反馈这个发票
要换成发票内容是天猫精灵显示购买数量和单价,是精灵显示购买数量
这个发票什么时候能打印下载,能打印下载
用无线充电器充电充不了,充电充不了
当然插电了我傻呀,当然插电我傻
有无线充的小灯也亮了的但手机放上面不会充电,有也亮手机放不会充电
我换了很多姿势可是手机就是不进电用手机充电线充又可以所以会不会是无线充有问题,我换很多姿势手机就是不进
无线充还是手机,无线充还是手机
如果确定是有问题邮费你们报销的吧,如果确定是有问题
好的地址发来下如果不是无线充有问题那就是手机有问题那问题就麻烦了,如果不是无线充有问题
你们都不送个插卡机吗,不送个插卡机
现在完全卡在这里了也退不出来,完全卡在这里也退不出来
怎么需要解锁别人的手机号呢,怎么需要解锁手机号
那现在怎么办啊,现在怎么办
主要是我也退不出来啊,主要是也退不出来
我都退不出来怎么换,都退不出来怎么换
这要选哪一个,要选哪一个
有没有教程啊,有没有教程
这样我买了还用不了吗,我买还用不了
那我这弄不了怎么办啊,这弄不了怎么办
我都注册两个了,都注册两个
发票没收到,发票没收到
哦我知道哦了谢谢,我知道哦谢谢
产品没问题,产品没问题
你好我有申请发票快递里面没有看到发票呀,你好我有没有看到发票
是退费不是运费,是退费不是运费
应该是这个,应该是这个
嗯嗯刚刚查了激活时间和机器详情都没有问题那我这就给您确认了退费的事情就麻烦您啦,刚刚查激活时间都没有问题确认事情就麻烦您
我是不想要啦,我是不想要
我是想问你具体地址是哪里运费是多少钱,我是想问具体地址是
我拒签直接寄回去还要付运费是吗,我拒签直接寄回去还要付运费是
我要其他快递送过去得不得,快递送过去不得
七天无理由退货又是怎么回事,七天无理由退货又是怎么回事
七天无条件退货还要付运费吗,无条件退货还要付运费
因为顺丰运费太贵了我想要其他的快递送过去那损坏不损坏我也不知道反正我原封退回去可以吗,运费太贵我想要快递送那损坏
我东西买错了我直接拒收给你返回运费我出可以吗,东西买错直接拒收返回运费我出可以
这款心率检测怎么使用,心率检测怎么使用
你给介绍一下,给介绍一下
你问问厂家技术人员,你问问厂家技术人员
APP没有这个功能呢,APP没有这个功能
那你们是不是存在虚假宣传这事怎么处理合适,是不是存在虚假宣传这事
我还是先投诉你们吧,先投诉你们
这么大的品牌一上市虚假宣传,一上市虚假宣传
我决定投诉包括华为和你们店家一起,我决定投诉包括一起
我想退换货,我想退换货
买的小米AI想换天猫精灵2代,AI想换天2代
我上面不是说了吗三样,不是说三样
我用的是手机什么旺旺是会员名吧,是旺旺是会员名
都写在小纸上啊,都写在小纸上
还写原因吗其实挺好的声音好听也大就是我爱人叫它没回应我叫就没事主要是给他买的,还写原因大就是爱人叫没回应我叫
因为我爱人有病也不能出去没办法换一个试试吧,爱人有病不能出去没办法换一个试试
还是没收到发票哦,还是没收到发票哦
图片刚刚发给你们了,刚刚发给你们
刚刚收到货刚刚开箱钢化膜的包装已破裂小米手机盒子塑封有破损,刚刚收到货已破裂塑封有破损
亲就是这个解决方案吗,亲就是解决方案
就放小区代收点的,就放小区代收点
收货什么情况先拍图给你你说打开我再打开,先拍图给你说打开
我还没拆手机盒子,没拆手机盒子
那我拆手机盒子了,我拆手机盒子
正在开机设置,正在开机设置
手机壳那个返16元怎么返的,那个返16元怎么返
我已经确认收货了如果试了有问题可以换吗,已经确认收货
现在有个有问题,现在有个有问题
我还有两个送人了如果有问题让他们分批寄给你们行吗,我还有两个送人
地址发给我然后写的快递费怎么给我,地址发给快递费怎么给我
那你们收到货多长时间可以检测出来多长时间能把快递费给我,你们收到货可以检测出来给我
运费多长时间退回,多长时间退回
电源插上白色的灯不亮是什么问题,灯不亮是什么问题
你们不知道怎么弄吗,不知道怎么弄
你们卖这个应该懂得,你们卖这个应该懂得
你知道在哪里登陆的吗,你知道登陆
我现在改不了才来问你们的,现在改不了来问你们
你们只回复进App,只回复进App
我知道要进手机App,我知道要进手机App
就是里面点头像改不了,里面点头像改不了
你找个人帮我问下,你找个人帮问下
你不知道怎么操作问别人帮我解下,不知道怎么操作
因为买了你们3个现在有个有问题她要跟我的换,因为买了现在有个有问题
哪里可以取消购物功能,可以取消购物功能
丨ME丨哪里找,丨ME丨哪里找
imei1,imei1
数字在哪里,数字在哪里
我已经拿去修过,已经拿去修
就像接触不良,就像接触不良
我买过别的线,我买别的线
就维修手机地方,就维修手机地方
本来修好就算了我也省的来麻烦你们,本来修好就算麻烦你们
但是吧才修好一两天还是这个问题,才修好一两天还是这个问题
那就是你们不管的意思是不,那就是意思是不
问题是当地修不好,问题是当地修不好
要能修好了我也懒得来问你们,要能修好也懒得来问你们
电池换不了,电池换不了
电池要是坏了怎么办,要是坏怎么办
我买错了我要买红米s2下单成了s5可以退吗,我买错要买红米可以退
还没有拆开包装的,没有拆开包装
麻烦给我发一下退货地址,麻烦给我发一下退货地址
快递员直接给我放店里了我同事给我的,放店里同事给我
刚才试了一下打电话也没有声音,刚才试一下打电话也没有声音
我在下那个唱歌的软件我不知道听了才知道,我在下软件不知道听
嗯音乐可以播放能有声音,可以播放能有声音
但是游戏里面和打电话没有声音,打电话没有声音
自己听不到啊,自己听不到
那太久了那我都没电话那怎么行,太久都没电话那怎么行
货还没收到就降价30块,还没收到就降价30块
我想问下电话卡你们显示是默认送的,我想问下电话卡你们显示是默认送
送的贴膜有问题,贴膜有问题
那我在看看其他的又问不,在看看又问不
还没有检查在激活手机,没有检查在激活手机
怎么是121的版本啊这么高啊,怎么是版本这么高
差价补30贴膜10块共40块钱啊,差价补40块钱
我看看保温杯保温不,我看看保温杯保温不
我怕不保温,我怕不保温
我试下你先忙,我试下先忙
为什么拒收了,为什么拒收
我这里打不了你那边快递的客服电话,这里打不了客服电话
手机密码锁是9709,密码锁是9709
我打不了客服电话,我打客服电话
手机是充电接口失灵密码是9709,手机是密码是9709
发票都是显示智能手机吧拍手机的话不会显示手机名称的吧,都是显示智能手机吧拍手机
不知道是不是手机问题,不知道是不是手机问题
上个星期买的,上个星期买
我发链接别人买的,我发链接别人买
然后开始跳界面,然后开始跳界面
我之前有碎屏保,之前有碎屏保
但是没有绑定,但是没有绑定
地址不用改是吗直接拒签,改是直接拒签
那自己怎么剪要去营业厅剪了,怎么剪要去营业厅剪
大小控制不了,大小控制不了
换卡还得去当地外地卡,得去外地卡
那会的问题是具体多大怎么控制,问题是怎么控制
应该送个卡贴我仿着剪,应该送个卡贴我仿剪
行吧我想办法,行我想办法
手柄怎么连不上啊,怎么连不上
不是链接失败就是手柄有问题,不是就是手柄有问题
它会弹出个框框说手柄链接出错,会弹出个框框说链接出错
怎么在手机不是原装耳机的啊,不是原装耳机
我去哪里看有没有操作成功,我去哪里看有没有操作成功
直接在公众号里面输入imei1就可以了,输入imei1就可以
蓝牙耳机也是打开蓝牙连接嘛,也是打开蓝牙连接
那直接补给我吧,直接补给我
你自己看聊天记录,看聊天记录
我说了无线充,我说无线充
我只想换个无线充,只想换无线充
我打开箱子而已,我打开箱子
我退货再拍,我退货再拍
我只打开箱子而已,只打开箱子
我直接封箱退回就可以了吧,封箱退回就可以
这个寄快递没问题吧,这个寄快递没问题
我怕不见哦,我怕不见哦
手机数据线有问题冲不进电,数据线有问题冲不进电
换一颗就可以充电,换可以充电
我给你寄过来你给我换一颗不就完咯么,寄过来换咯
那来回不得一个星期不用手机呀,那来回不得星期不用手机
那咋办你说,那咋办你说
我这边是边区,这边是边区
你直接给我发一颗不行是吧,你直接不行是
这个得多少钱一颗我自己买,这个得多少钱买
你是不是得给我添加点钱叻,你是不是添加点钱叻
我多不好意思,多不好意思
你给我补贴40行不,补贴40行
充电有反应的,充电有反应
江苏江阴有网点吗,江阴有网点
小姐姐我周三买的手机到现在还没有发货是不是有点说不过去啊,没有发货是不是有点说不过去
好谢谢你热心服务态度,好谢谢热心服务态度
还没看明白吗,还没看明白
另外少得东西怎么弄,另外少东西怎么弄
我这是送人的你今天得给我寄出来我周一要送人,这是寄出来
这是你们自己犯得错误而且是俩错误我不承担时间损失,这是犯得错误
我就算更换少得赠品你也得补发,就算更换赠品
更换是我更换的事补发是你补发的事,更换是补发是事
今天补发我周一要用,今天补发周一要用
更换的水壶我今天如果有时间我就叫快递没时间我就明天发快递,如果有时间就叫快递没时间发快递
但是补发的东西今天必须顺丰发出来,顺丰发出来
别给我回复模棱两可的话,回复模棱两可
我上一句话看明白了吧,我上一句话看明白
我要的是保证今天发出最晚周一上午收到不是尽量帮我安排这种话,是保证今天发出上午收到
尽快弥补你们的错误而不是拖用模棱两可不确定的话敷衍,尽快弥补错误而不是不确定敷衍
你这么说肯定是在等着我给你们退回去你再发出来,肯定是在等退回去
另一个你这不是帮我发是你们漏发你们是在帮自己弥补错误,这不是是你们漏发
反正你不管发不发周一上午我需要收到收不到咱们再折腾,发不发我需要收到收不到
麻烦催一下,麻烦催一下
开机零格电是什么操作,零格电是什么操作
发票在哪里,发票在哪里
我前天买的xr可以换成xs吗,可以换成xs
我刚买的没有确认收货可以退货吗,没有确认收货可以退货
我朋友在官网买的就是HRY,就是HRY
维修要多少费用,维修要多少费用
那好久会反馈回来,会反馈回来
能不能告诉我的检测情况,能不能告诉检测情况
一个月我能拿到手机吗,能拿到手机
元旦节我能不能拿到手机,不能拿到手机
我给了你们的时间了哈,我给时间哈
过了这几天我需要详细消息,我需要详细消息
而且不是说保修的吗,而且不是说保修
我需要检测情况,我需要检测情况
我需要检测报告,我需要检测报告
那我能不能看见检测情况呢,不能看见检测情况
而且不要把官方拿进来手机不是你们店铺买的吗,拿进来手机不是店铺买
我就想问手机是谁买出来的,是谁买出来
现在出了问题都推给官方,现在出问题都推给官方
那你们不晓得催官方吗,不晓得催官方
我没手机也着急用啊,我没手机也着急用
我到时候需要检测报告,到时候需要检测报告
等了7天还是没有反馈,等还是没有反馈
如果当初你们说要一个月我也不好汇回去啊,你们说不好汇回去
你们当初为什么不说,为什么不说
你就这样骗我们的吗,这样骗我们
我需要具体时间,我需要具体时间
元旦节能不能让我拿到我手机,不能让拿到我手机
我已经等的够久了,已经等够久
你是不是客服,你是不是客服
真怀疑你不是客服了,真怀疑你不是客服
一直说这句话,一直说句话
那你确定是客服吗,你确定是客服
你不知道我着急用手机吗,不知道我着急
这些话我已经听了很多了,已经听很多
谁叫你们没有保障,谁叫没有保障
打了几个电话又把我吵醒了晚上我怎么上班,打吵醒怎么上班
我说了手机不要了你赶紧让快递拿回去,我说不要了
什么流程你耍我几次了三番五次的耍我,你耍几次耍我
一会又返回来了一会又在这里一会又在那里的,又返回来又在那里
现在这种情况怎么办你说,怎么办你说
这是谁签收的,这是谁签收
你眼睛有问题吗这是已经签收的哈,眼睛有问题这是已经签收
上面已经显示是签收的,已经显示是签收
我不需要电话卡怎么办,不需要电话卡怎么办
不需要办卡怎么办,不需要办卡怎么办
手机屏幕模糊老人看不清怎么,老人看不清怎么
我已经发起退款了,已经发起退款
你通过一下,你通过一下
帮别人带够的,帮别人带够
我打电话给快递公司今天还能寄出去,我打电话给快递公司能寄出去
可以帮我同意一下吗,可以帮同意一下
为什么没有充电宝,为什么没有充电宝
陕西省咸阳市礼泉县城关镇曹家村,城关镇曹家村
还可以补买吗但是我的手机屏幕已经摔坏了,可以补买已经摔坏
而且等三天,而且等三天
怎么没给发票,怎么没给发票
怎么用不了,怎么用不了
和她说话没反应,她说话没反应
下单后刚刚才看到你们说的,才看到你们说
我就想发火懂不懂,就想发火懂不懂
这是18里面的,这是18里面
我还专门提前咨询了又咨询,提前咨询又咨询
补发了给我运单号就可以了,补发就可以
可是驻马店没有售后啊,驻马店没有售后
我也没有想着那麻烦你们,没有想着那麻烦你们
给我寄个屏可以吗,寄个屏可以
锤子手机不是中国的啊还得恁麻烦,手机不是得恁麻烦
好吧地址给我发过来吧,地址给我发过来
如果要贵了就不换了,要贵就不换
我接不了电话发短信,我接不了电话发短信
今天接不了电话,今天接不了电话
为啥非得打电话,非得打电话
那卡怎么装进去,怎么装进去
标配送的手机壳是软壳,手机壳是软壳
再买个软壳手机壳19返还16就是3元你们包邮么,19返还16就是3元
哪边放屏幕这边,哪边放屏幕这边
自拍杆好像也没法装手机,没法装手机
保修我留着三班凭证就行了么,保修我留班凭证就行了
发票啥时候发我,啥时候发我
除了三包凭证不需要提供别的么,不需要提供别的么
好的那就三包凭证和发票,三包凭证和发票
好评有返现么,好评有返现
那白天和你们说过有个耳机音量键有问题,说过有音量键有问题
也是加大也是加大,也是加大也是加大
已经登陆上,已经登陆上
格力空调可以用天猫精灵开关吗,可以用精灵开关
那不是不能贴膜,那不是不能贴膜
那不是很容易划伤,那不是很容易划伤
还没有收货呢,还没有收货
我看到评论说不好不想买了,我看到评论说不好
主要是你们这个如果激活了之后就不能退了,主要是不能退
那我收到货之后看看再说吧,之后看看再说
OPPOk1更适合我一些,更适合我一些
可是你们店没有OPPOk1,店没有OPPOk1
不然换一下也行,不然换一下也行
我就是在买五g手机之前过渡一下用不着太好的,我就是过渡一下
这手机我就放床头用的,就放床头用
你们没接到类似的吗,没接到类似
他们说会爆炸,他们说会爆炸
可以收我就换了,可以收我就换
我拿到手机店里说这电池都不是原装的,我拿到里说都不是原装
我不拆我知道吗,不拆我知道
而且我没手机用这个时间还得去找售后,我没手机去找售后
我这边离售后又远,这边离售后又远
到手机店里才知道电池坏的,才知道电池坏
我上次屏幕碎了已经寄到屏险哪里了,屏幕碎已经寄到屏险哪里
上次换屏幕都拆开了,上次换屏幕都拆开
我想知道为什么我的电池不是原装的,我想知道电池不是原装
这不是保修的问题,这不是问题
那就是说这电池不是原装的了,电池不是原装
电池反面都是用双面胶粘的,都是用双面胶粘
这电池就是我手机拆下来的,电池就是手机拆下来
你别在这推卸责任了,别在这推卸责任
那就是说我拿别的电池换的了,我拿别的电池换
行这样就没办法说了,就没办法说
不要连接电脑吧,不要连接电脑
卧槽那我买盒子有什么用,我买盒子有什么用
下载后可以看电视台,可以看电视台
好的我看到了收到后我通知你,我看到我通知你
就扫码关注内个公众号直接问就行吗,就扫码关注个公众号直接问就行
再点就请勿重复体检,请勿重复体检
我是要寄出再告诉你吗,我是要寄出
什么时候返我200元,时候返200元
你好我这个之前买的不要赠品不分期,你好不分期
这个有电话咨询吗,这个有电话咨询
APPLEid输入不了,APPLEid输入不了
家里只有这个,家里只有这个
关了用手机数据也不行,关了用手机数据也不行
在屏幕险中我怎么没找到majic呢,没找到majic
连个运费险都没有退回去运费谁买单,都没有退回去运费
我这个手机为什么一直显示一个,一直显示一个
没有用手柄,没有用手柄
就是下面那个葡萄隅欲成之后就是那样子,之后就是那样子
中午卸载了重新下载游戏也不行,中午卸载重新下载游戏也不行
原来寄过去修了又坏了主要是开不开机,寄过去修主要是开
好的地址和需要写什么可以说一下吗,地址和需要写什么
我给您好评,我给您好评
咱们这个快递没有当面送啊直接给我扔到快递柜了,当面送扔到快递柜
我当时还想这么贵的东西是不是得当面送,还想东西是不是当面送
没打电话直接发了个短信,没打电话直接发个短信
就是觉得这个快递是不是不打负责,就是觉得快递是不是
啥也没说就给我扔快递柜了,没说扔快递柜
我也不知道咋投诉就只能找你们了,不知道咋投诉
我觉得顺丰不该这样的,我觉得顺丰不该这样
亲请发下使用说明给我谢谢,亲请发下使用说明谢谢
还没收到手机就降还是双十二买的,没收到手机就降还是双十二买
为什么没有自带的,为什么没有自带
我之前买的都有自带的而且不能卸载的,都有自带不能卸载
其他小软件也有的不是你说的纯净的,有的不是纯净
你好这个闲鱼手机拿走了我在哪里查信息怎么收钱,手机拿走查信息怎么收钱
现在这个支持9的嘛,这个支持9
上面没有显示9,没有显示9
到时候再看看怎么样,再看看怎么样
客服说可以换一个,客服说可以换一个
客服让我下载了,客服让下载
客服说可以联系您换一台新的手机,客服说可以联系换一台
那怎么关闭wifi呢,怎么关闭wifi
可以申请退货吗,可以申请退货
7天无理由换一个呢,天无理由换一个
客服说可以换的啊,客服说可以换
您打电话问,您打电话问
他说这种问题可以要求您这边更换一台,他说可以要求这边更换一台
那我就是登不上去,就是登不上去
亲少一样东西一拖二数据线没有,数据线没有
支付宝号就是手机号对吧,号就是手机号对
xr不是标配有无线充的吗,xr不是标配有无线充
西藏发啥快递,西藏发啥快递
买了菜多久就降价那么多晕死,就降价多晕死
你们就是这样办事的,你们就是这样办事
专属服务有什么用,服务有什么用
那可以设置震动吗,可以设置震动
勿扰模式是干啥的呀,模式是干啥
这手表还有声音吗,手表还有声音
那这个充电充多久能充满呀,这个充电充多久能充满
这个手表有多少电的时候充电合适呀,时候充电合适
还是用完了在充呢,还是用完在充
我那天中的奖你们的发货单号给我一下呗,发货单号给一下
我看你们的端口都关了,我看端口都关了
额我知道但是什么时候发啊,我知道时候发
你这是翻新机还是越狱机子,这是机还是越狱机子
